@relation unbalanced-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.3-no-replacement

@attribute WBN_GC_L_0.25 numeric
@attribute WBN_GC_H_0.25 numeric
@attribute WBN_GC_L_0.50 numeric
@attribute WBN_GC_H_0.50 numeric
@attribute WBN_GC_L_0.75 numeric
@attribute WBN_GC_H_0.75 numeric
@attribute WBN_GC_L_1.00 numeric
@attribute WBN_GC_H_1.00 numeric
@attribute WBN_EN_L_0.25 numeric
@attribute WBN_EN_H_0.25 numeric
@attribute WBN_EN_L_0.50 numeric
@attribute WBN_EN_H_0.50 numeric
@attribute WBN_EN_L_0.75 numeric
@attribute WBN_EN_H_0.75 numeric
@attribute WBN_EN_L_1.00 numeric
@attribute WBN_EN_H_1.00 numeric
@attribute WBN_LP_L_0.25 numeric
@attribute WBN_LP_H_0.25 numeric
@attribute WBN_LP_L_0.50 numeric
@attribute WBN_LP_H_0.50 numeric
@attribute WBN_LP_L_0.75 numeric
@attribute WBN_LP_H_0.75 numeric
@attribute WBN_LP_L_1.00 numeric
@attribute WBN_LP_H_1.00 numeric
@attribute XLogP numeric
@attribute PSA numeric
@attribute NumRot numeric
@attribute NumHBA numeric
@attribute NumHBD numeric
@attribute MW numeric
@attribute BBB numeric
@attribute BadGroup numeric
@attribute Outcome {Active,Inactive}

@data
-2.261,1.8509,-2.3873,2.3169,-2.6379,3.0175,-3.1933,3.8224,-0.7907,1.5208,-1.5949,2.1884,-2.4052,2.9183,-3.2187,3.7197,-0.9477,1.4339,-1.7065,2.0416,-2.5018,2.8227,-3.3064,3.6564,4.339,124.07,10,9,1,488.562,0,2,Inactive
-1.6224,1.261,-2.1842,2.1246,-2.9306,3.0582,-3.7602,4.0128,-0.7934,1.3976,-1.6481,2.2823,-2.5261,3.231,-3.4137,4.1964,-1.0285,1.1904,-1.8132,2.1354,-2.6689,3.103,-3.5482,4.0769,6.837,47.57,4,3,0,375.52,1,0,Inactive
-2.2638,1.8658,-2.3841,2.3292,-2.6314,2.9965,-3.0961,3.7569,-0.7767,1.5204,-1.5637,2.1848,-2.3561,2.8991,-3.1519,3.6654,-0.9771,1.4335,-1.6696,2.0346,-2.4283,2.7967,-3.2006,3.6052,2.566,84.5,7,8,2,333.344,0,2,Inactive
-1.5268,1.4082,-1.9563,1.9271,-2.7218,2.7936,-3.5603,3.6896,-0.8391,1.2344,-1.7029,1.9807,-2.5739,2.8529,-3.4479,3.7462,-0.8632,1.1556,-1.6324,2.043,-2.4814,2.9407,-3.3474,3.8422,4.662,58.5,5,2,0,368.546,1,0,Inactive
-1.8084,1.4037,-1.9591,1.8816,-2.6827,2.5631,-3.5026,3.3834,-0.5307,1.5641,-1.139,2.3992,-1.8665,3.2447,-2.6893,4.0933,-1.0823,0.8069,-1.9047,1.5503,-2.7364,2.3868,-3.5709,3.2329,0.322,87.33,8,7,1,361.508,0,0,Inactive
-1.4725,1.4375,-1.8518,2.002,-2.6633,2.862,-3.5022,3.7427,-0.7751,1.5358,-1.565,2.3684,-2.3773,3.2276,-3.2061,4.0999,-1.0798,1.0837,-1.9075,1.9183,-2.7533,2.7823,-3.6075,3.6604,3.015,83.65,6,5,2,332.425,0,0,Inactive
-2.3987,1.286,-2.5267,1.9408,-2.7651,2.8002,-3.5306,3.6753,-0.7767,1.5351,-1.5695,2.3649,-2.3791,3.2194,-3.203,4.0861,-1.0866,1.1199,-1.9154,1.9499,-2.7589,2.8019,-3.6097,3.6677,2.907,73.01,6,5,1,375.49,0,0,Inactive
-1.4635,1.5809,-2.0117,2.1763,-2.7792,2.8997,-3.5769,3.6813,-0.6603,1.3702,-1.4304,2.1515,-2.2405,2.9823,-3.0648,3.8277,-1.0646,0.8543,-1.8573,1.6523,-2.6805,2.4943,-3.512,3.3462,-0.383,93.75,1,5,1,205.217,0,1,Inactive
-1.4862,1.4329,-1.8648,2.085,-2.4361,2.8999,-3.1388,3.7423,-0.7726,1.5212,-1.5612,2.1947,-2.3597,2.9391,-3.1631,3.7456,-0.8629,1.4318,-1.5872,2.0282,-2.3757,2.8203,-3.1778,3.6605,4.83,66.48,5,7,1,423.856,1,1,Inactive
-2.3205,2.4071,-2.5852,2.8268,-3.0432,3.5577,-3.7024,4.4314,-0.8605,2.4014,-1.7608,2.6756,-2.6724,3.1693,-3.5885,4.0296,-0.9525,1.1195,-1.8156,2.0452,-2.7188,2.991,-3.6321,3.9427,6.034,62.91,6,4,1,461.48,1,0,Inactive
-1.7741,1.6801,-2.2444,2.3897,-2.9305,3.2773,-3.7173,4.2222,-0.8538,1.3686,-1.7269,2.249,-2.6123,3.2078,-3.5052,4.1864,-0.9591,1.3587,-1.7644,2.2922,-2.6367,3.2686,-3.5276,4.2541,2.689,90.33,5,5,1,408.502,0,0,Inactive
-2.399,1.5985,-2.5271,2.3572,-2.8639,3.2496,-3.6685,4.1739,-0.867,1.3409,-1.7649,2.166,-2.6741,3.0797,-3.5886,4.0175,-0.9579,1.1759,-1.7748,2.1063,-2.6654,3.0516,-3.5741,4.0022,3.349,78.79,9,6,1,424.497,0,0,Inactive
-2.261,1.8509,-2.3873,2.3188,-2.6379,3.0274,-3.1898,3.8408,-0.7922,1.521,-1.5992,2.1914,-2.4128,2.9301,-3.2298,3.7397,-0.9483,1.434,-1.7095,2.0449,-2.5076,2.8303,-3.3153,3.6678,4.339,124.07,10,9,1,488.562,0,2,Inactive
-2.3605,1.2934,-2.6292,2.125,-3.044,3.0426,-3.6068,3.9788,-0.7939,1.5214,-1.6306,2.2293,-2.4882,3.1159,-3.3555,4.0448,-1.0356,1.4346,-1.827,2.1026,-2.6705,3.0189,-3.5306,3.9619,5.073,116.7,3,6,1,409.405,0,2,Inactive
-1.2964,2.1553,-1.9772,2.7358,-2.7541,3.4504,-3.5691,4.2413,-0.7612,1.3729,-1.5884,2.1775,-2.4401,3.0454,-3.3022,3.9333,-1.0405,1.0498,-1.8481,1.8625,-2.7028,2.7486,-3.5691,3.6466,3.726,122.37,0,5,2,342.468,0,1,Inactive
-2.3861,1.4406,-2.5262,2.2322,-2.8097,3.1106,-3.4992,4.0219,-0.8083,1.3414,-1.6402,2.1799,-2.4827,3.094,-3.3296,4.0277,-0.8526,1.3124,-1.5812,2.1806,-2.4081,3.1085,-3.2496,4.0488,7.382,69.4,6,3,1,459.59,1,0,Inactive
-1.7741,1.6796,-2.246,2.3909,-2.9348,3.2827,-3.7235,4.2325,-0.8538,1.37,-1.7272,2.255,-2.613,3.2188,-3.5065,4.2023,-0.9622,1.3609,-1.7683,2.2996,-2.641,3.2809,-3.5323,4.2713,6.222,50.48,4,4,0,482.628,1,0,Inactive
-2.2506,1.889,-2.388,2.4334,-2.6876,3.1597,-3.2379,3.9551,-0.7903,1.5208,-1.5957,2.1895,-2.4079,2.9227,-3.2238,3.7242,-0.9113,1.4339,-1.6827,2.0434,-2.4825,2.8264,-3.2905,3.6607,3.588,104.92,7,9,1,416.43,0,3,Inactive
-2.3981,2.407,-2.5833,2.8251,-3.0407,3.5473,-3.6974,4.4101,-0.8538,2.4013,-1.7493,2.6745,-2.6564,3.1575,-3.5681,4.0029,-0.9518,1.1178,-1.8105,2.0339,-2.7089,2.9707,-3.6175,3.9137,4.816,48.67,4,3,0,350.292,1,0,Inactive
-1.3265,2.0874,-1.8668,2.4966,-2.6235,3.0427,-3.4461,3.7793,-0.8129,1.2942,-1.6557,2.0498,-2.51,2.8943,-3.3696,3.7641,-0.9271,1.1365,-1.6816,1.9992,-2.5086,2.876,-3.3574,3.7587,2.021,75.11,4,3,2,245.282,0,0,Inactive
-2.3827,2.093,-2.5122,2.4948,-2.7779,3.0553,-3.3712,3.8529,-0.8159,1.2302,-1.635,1.9581,-2.4571,2.8114,-3.2815,3.6892,-0.9072,1.1129,-1.6812,1.9426,-2.4866,2.8104,-3.3014,3.6893,4.327,93.14,6,7,1,570.48,0,2,Inactive
-2.2496,2.363,-2.3735,2.8243,-2.6167,3.4152,-3.1336,4.0763,-0.7758,2.4012,-1.5607,2.6711,-2.3493,3.0777,-3.14,3.6453,-1.0727,1.0573,-1.7026,1.8488,-2.4075,2.6574,-3.1501,3.4733,3.163,76.07,9,6,1,363.332,0,0,Inactive
-2.367,1.2298,-2.4995,2.0156,-2.779,2.844,-3.3039,3.6831,-0.7962,1.52,-1.6051,2.1837,-2.419,2.8985,-3.2356,3.6686,-0.9715,1.4334,-1.5877,2.0334,-2.3575,2.8068,-3.1619,3.6326,3.987,29.54,2,5,0,300.358,1,1,Inactive
-1.4713,1.4335,-1.8669,2.0446,-2.6689,2.9229,-3.4946,3.8262,-0.7978,1.537,-1.6167,2.3739,-2.4406,3.2399,-3.2665,4.122,-1.0951,1.1504,-1.9314,2.0463,-2.777,2.9528,-3.6258,3.8635,3.562,153.02,7,5,2,528.519,0,1,Inactive
-2.2148,2.3439,-2.3302,2.6894,-2.5785,3.1454,-3.0541,3.7997,-0.7772,2.4011,-1.5629,2.6681,-2.3519,3.0556,-3.1428,3.5914,-0.9768,1.0554,-1.6688,1.8429,-2.428,2.6487,-3.2005,3.4635,1.622,87.66,5,6,3,330.262,0,1,Inactive
-1.774,1.6797,-2.2444,2.3881,-2.9305,3.2747,-3.7173,4.2188,-0.8538,1.3673,-1.7269,2.2468,-2.6123,3.205,-3.5052,4.183,-0.9591,1.3588,-1.7644,2.2921,-2.6367,3.2681,-3.5276,4.2532,4.959,47.24,4,3,0,393.531,1,0,Inactive
-1.4656,1.6854,-1.8984,2.3201,-2.6512,3.0993,-3.4876,3.9426,-0.7662,1.54,-1.5571,2.3818,-2.3675,3.2536,-3.194,4.1407,-1.0794,1.0757,-1.907,1.9242,-2.7528,2.8089,-3.607,3.7071,1.306,180.48,10,6,2,474.568,0,0,Inactive
-2.3987,2.4071,-2.5852,2.8273,-3.0431,3.5594,-3.7022,4.4342,-0.8605,2.4014,-1.7608,2.6758,-2.6724,3.1711,-3.5885,4.0322,-0.9525,1.1138,-1.8156,2.0423,-2.7189,2.9891,-3.6321,3.9414,5.88,72.14,10,5,1,493.522,0,0,Inactive
-2.3549,1.4062,-2.6122,2.0161,-2.9988,2.8629,-3.5226,3.7298,-0.7638,2.3346,-1.5518,2.4669,-2.3602,3.2248,-3.1846,4.0911,-1.0863,1.1158,-1.9149,1.941,-2.7583,2.789,-3.609,3.6517,2.376,96.79,8,5,2,394.468,0,0,Inactive
-2.3865,1.9844,-2.5272,2.3807,-2.7969,2.9239,-3.2667,3.6568,-0.7818,1.222,-1.5732,1.8366,-2.3676,2.5802,-3.1633,3.382,-0.8614,1.0309,-1.5283,1.8206,-2.3002,2.63,-3.0875,3.4461,1.802,84.86,9,6,2,335.4,0,0,Inactive
-2.3806,1.5223,-2.6605,2.3847,-3.1326,3.3036,-3.801,4.2436,-0.8639,1.343,-1.7665,2.1957,-2.6798,3.1336,-3.5974,4.0922,-0.8937,1.3144,-1.7572,2.1949,-2.6649,3.1443,-3.5814,4.1079,5.792,68.26,3,2,1,362.429,1,0,Inactive
-2.2647,1.8506,-2.3887,2.3162,-2.6393,3.0162,-3.1842,3.8169,-0.7913,1.235,-1.5952,1.9331,-2.4045,2.7508,-3.2164,3.5978,-0.9478,1.0595,-1.707,1.8611,-2.5028,2.6923,-3.3077,3.5387,2.18,101.93,7,7,2,413.47,0,1,Inactive
-2.3999,1.851,-2.5329,2.3319,-2.8132,3.0889,-3.3002,3.9261,-0.7985,1.2391,-1.6134,1.9544,-2.4336,2.7904,-3.256,3.6535,-0.9485,0.9808,-1.7132,1.8158,-2.5172,2.6789,-3.3316,3.5504,2.063,109.39,10,9,1,487.549,0,1,Inactive
-2.2178,2.1767,-2.3467,2.3125,-2.5457,3.0393,-3.0728,3.8646,-0.7825,1.5206,-1.5823,2.189,-2.3888,2.9163,-3.1987,3.6988,-0.8335,1.433,-1.5596,2.0266,-2.3609,2.7876,-3.1698,3.6065,3.843,81.14,3,7,0,350.396,0,1,Inactive
-2.401,1.8672,-2.534,2.3361,-2.7988,3.0239,-3.2575,3.8051,-0.7818,1.2621,-1.5758,1.9389,-2.374,2.7165,-3.1742,3.5306,-0.9773,1.0523,-1.6726,1.8264,-2.4374,2.6451,-3.2179,3.4742,1.727,85.89,8,7,2,360.41,0,1,Inactive
-1.6968,1.88,-2.1545,2.561,-2.9103,3.425,-3.7529,4.3428,-0.7805,1.4712,-1.5914,2.3855,-2.4996,3.3452,-3.4189,4.3174,-1.0271,1.3066,-1.8919,2.1828,-2.7981,3.1328,-3.7164,4.1005,3.661,65.06,5,3,0,395.507,1,0,Inactive
-1.4835,1.5485,-1.8811,2.0938,-2.4919,2.7916,-3.2036,3.5482,-0.7033,1.2628,-1.4549,1.9595,-2.2238,2.7315,-3.0003,3.5258,-1.0174,1.0073,-1.6621,1.7679,-2.3901,2.5567,-3.1517,3.3567,2.987,62.3,6,4,1,343.471,1,0,Inactive
-2.2178,2.1767,-2.3467,2.3195,-2.5456,3.0664,-3.1746,3.9018,-0.7844,1.5209,-1.5865,2.1923,-2.3955,2.9312,-3.2081,3.7337,-0.9744,1.4335,-1.636,2.0375,-2.4076,2.8279,-3.2097,3.6715,4.822,67.87,6,8,1,423.469,1,1,Inactive
-2.261,1.8508,-2.3873,2.3137,-2.6379,3.0012,-3.1991,3.7878,-0.7875,1.2346,-1.5868,1.93,-2.3919,2.7432,-3.2001,3.5858,-0.9477,1.1008,-1.706,1.8946,-2.5003,2.7115,-3.3032,3.5458,3.621,107,9,6,1,443.565,0,1,Inactive
-2.3889,2.3811,-2.5854,2.742,-3.0358,3.4324,-3.6923,4.3188,-0.8543,2.4012,-1.7497,2.674,-2.6567,3.1661,-3.5684,4.0191,-0.9086,1.4315,-1.7702,2.0889,-2.6735,2.9956,-3.5848,3.9316,3.616,56.51,3,5,0,289.165,1,1,Inactive
-1.7377,1.2225,-2.2206,1.987,-2.9169,2.8554,-3.7091,3.7424,-0.7784,1.5209,-1.5996,2.2033,-2.4518,3.0335,-3.3156,3.9218,-0.9928,1.4339,-1.7979,2.0523,-2.65,2.8759,-3.5144,3.7578,3.123,58.36,8,5,1,416.547,1,1,Inactive
-2.3984,1.4363,-2.5259,2.0449,-2.7606,2.8023,-3.2149,3.6085,-0.7617,1.2712,-1.5366,1.9651,-2.3167,2.7478,-3.0994,3.563,-0.8904,1.0302,-1.5721,1.8044,-2.3132,2.6214,-3.0789,3.4499,2.017,46.61,2,4,0,309.365,1,0,Inactive
-1.4991,1.5546,-1.8892,2.0812,-2.6916,2.8771,-3.5299,3.7534,-0.7802,1.5364,-1.5815,2.3702,-2.399,3.2313,-3.2295,4.1063,-1.0875,1.0831,-1.9179,1.9258,-2.7637,2.7966,-3.6172,3.6804,1.797,116.85,8,7,2,430.53,0,0,Inactive
-2.2023,2.4419,-2.3172,2.9179,-2.5454,3.4826,-2.9156,4.107,-0.7023,2.4118,-1.4254,2.7068,-2.1588,3.1581,-2.8977,3.7703,-0.9121,0.9971,-1.5584,1.836,-2.2673,2.6883,-2.9967,3.5444,4.165,121.69,9,6,3,419.347,0,2,Inactive
-2.2627,1.8829,-2.3826,2.4628,-3.0132,3.3598,-3.8942,4.3123,-0.8175,1.4356,-1.7273,2.3494,-2.6635,3.322,-3.609,4.3103,-1.0098,1.2017,-1.8876,2.1688,-2.8178,3.1566,-3.7619,4.1515,5.709,95.03,7,5,0,472.545,0,1,Inactive
-2.3843,1.4026,-2.5216,2.1548,-2.7896,3.0499,-3.6068,3.9795,-0.8083,2.3347,-1.6395,2.4636,-2.4931,3.1029,-3.3588,4.0289,-1.0356,1.1454,-1.827,2.0591,-2.6705,2.9969,-3.5306,3.9423,4.89,104.95,5,5,1,452.489,0,1,Inactive
-2.3844,1.5842,-2.5274,2.3311,-2.8121,3.1431,-3.3108,3.9861,-0.8053,1.1829,-1.6245,1.9092,-2.448,2.7654,-3.2734,3.6412,-0.8511,1.0401,-1.6284,1.8903,-2.4416,2.7644,-3.2624,3.6452,3.353,72.45,8,7,0,468.546,0,0,Inactive
-1.4773,1.439,-1.8809,1.9916,-2.6901,2.837,-3.5252,3.7112,-0.7799,1.5357,-1.5598,2.3669,-2.3666,3.2235,-3.1914,4.0926,-1.0864,1.1185,-1.9154,1.9417,-2.7595,2.791,-3.611,3.658,2.936,112.75,11,7,3,471.623,0,0,Inactive
-2.3977,1.5615,-2.5248,2.1377,-2.7598,2.8928,-3.3923,3.7027,-0.7758,1.2312,-1.5691,1.9507,-2.3751,2.7759,-3.1879,3.6247,-0.8703,1.0682,-1.6272,1.8826,-2.4307,2.7266,-3.2436,3.5817,3.352,51.22,4,3,1,322.408,1,0,Inactive
-2.2506,1.8889,-2.388,2.431,-2.6879,3.1485,-3.2511,3.9286,-0.7642,1.2291,-1.5574,1.9333,-2.3598,2.7475,-3.1662,3.5865,-0.9127,0.9997,-1.6832,1.7848,-2.4813,2.6135,-3.2862,3.4571,1.618,100.74,6,6,1,372.421,0,2,Inactive
-2.3991,1.5966,-2.5291,2.3593,-2.8649,3.256,-3.6704,4.1839,-0.8671,1.3427,-1.765,2.1724,-2.6745,3.0902,-3.5892,4.0315,-0.9579,1.1751,-1.7751,2.1075,-2.6661,3.0554,-3.5749,4.0089,3.685,79.23,10,7,0,468.55,0,0,Inactive
-2.3825,1.8821,-2.5087,2.3206,-2.8055,3.042,-3.3483,3.8848,-0.7954,1.2283,-1.6053,1.951,-2.4204,2.8024,-3.238,3.6787,-0.9082,1.1233,-1.6818,1.9601,-2.4839,2.8215,-3.2938,3.6959,5.609,78.9,5,6,0,514.618,0,1,Inactive
-1.49,1.4457,-1.8715,2.0783,-2.4492,2.8469,-3.1443,3.6635,-0.7551,1.2894,-1.5186,2.0133,-2.2863,2.8214,-3.0563,3.6568,-0.8768,1.0795,-1.5577,1.8821,-2.2702,2.712,-3.0151,3.5544,1.658,74.76,2,6,0,424.456,0,0,Inactive
-2.4015,1.8515,-2.6728,2.3229,-3.0831,3.0278,-3.5892,3.8268,-0.7566,1.2433,-1.5436,1.9687,-2.3401,2.7968,-3.1407,3.6479,-0.9497,1.0312,-1.7102,1.8388,-2.5037,2.6756,-3.3045,3.5263,2.459,94.84,6,6,1,427.497,0,0,Inactive
-1.774,1.6806,-2.2443,2.3927,-2.93,3.2821,-3.7163,4.2284,-0.8538,2.3347,-1.7268,2.464,-2.612,3.2118,-3.5048,4.1899,-0.9592,1.3598,-1.7645,2.2956,-2.6366,3.2736,-3.5273,4.2606,5.23,56.03,6,3,1,405.473,1,0,Inactive
-2.418,1.8514,-2.5412,2.3195,-2.7791,3.0218,-3.2535,3.8247,-0.7918,1.2373,-1.5968,1.9411,-2.4073,2.7637,-3.2204,3.6149,-0.9483,1.0629,-1.7094,1.8653,-2.5068,2.6997,-3.3132,3.5499,2.836,100.16,11,8,1,485.577,0,1,Inactive
-2.4003,1.7463,-2.5298,2.3724,-2.7913,3.1426,-3.26,3.9661,-0.8024,1.2604,-1.6122,1.9813,-2.4249,2.8045,-3.239,3.6599,-0.9586,1.1202,-1.657,1.9495,-2.4331,2.7996,-3.2248,3.6614,4.024,76.07,6,6,1,409.482,0,1,Inactive
-2.3653,1.8836,-2.4841,2.4698,-3.0131,3.3631,-3.8938,4.3131,-0.817,1.4362,-1.7268,2.3494,-2.6628,3.3206,-3.6082,4.3074,-1.0098,1.1971,-1.8876,2.1616,-2.8177,3.1475,-3.7617,4.1405,5.142,104.26,9,6,0,508.962,0,1,Inactive
-2.4163,1.866,-2.5385,2.33,-2.7698,2.9952,-3.2087,3.7475,-0.7765,1.2612,-1.5611,1.9322,-2.3492,2.6983,-3.1392,3.4998,-0.9767,1.06,-1.6686,1.8498,-2.4274,2.6569,-3.1994,3.4728,3.787,76.66,11,6,2,374.481,0,1,Inactive
-2.3358,2.3811,-2.6039,2.7432,-3.0694,3.4162,-3.7466,4.3043,-0.8703,2.4013,-1.7773,2.6748,-2.6943,3.1667,-3.6154,4.0325,-0.9079,1.1727,-1.7679,2.101,-2.678,3.0529,-3.5973,4.0104,4.89,53.68,4,3,1,397.78,1,1,Inactive
